intpus:(2570, 15, 8), targets:(2570, 1)
source input:(2570, 15, 8), source target:(2570, 1)
intpus:(209, 15, 8), targets:(209, 1)
target input:(209, 15, 8), target target:(209, 1)
/usr/local/miniconda/lib/python3.8/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
epoch:1, total loss:23.4695982336998, prediction loss:0.049401745200157166, cross loss:20.755875051021576 lr:0.001, time:5.160118579864502
epoch:2, total loss:21.610082685947418, prediction loss:0.009908507578074932, cross loss:20.758671462535858 lr:0.001, time:4.941833019256592
epoch:3, total loss:21.11278784275055, prediction loss:0.014578538946807384, cross loss:20.754736363887787 lr:0.001, time:4.857219457626343
epoch:4, total loss:21.085580706596375, prediction loss:0.005676313769072294, cross loss:20.755214631557465 lr:0.001, time:4.875020980834961
epoch:5, total loss:21.022672176361084, prediction loss:0.004268517252057791, cross loss:20.752449929714203 lr:0.001, time:4.899964332580566
epoch:6, total loss:21.013663470745087, prediction loss:0.004616547375917435, cross loss:20.753263115882874 lr:0.001, time:4.91585898399353
epoch:7, total loss:21.024566650390625, prediction loss:0.004712030291557312, cross loss:20.75429356098175 lr:0.001, time:4.922884464263916
epoch:8, total loss:20.969524145126343, prediction loss:0.011365066282451153, cross loss:20.75291782617569 lr:0.001, time:4.930400133132935
epoch:9, total loss:20.98764204978943, prediction loss:0.015903854742646217, cross loss:20.752613067626953 lr:0.001, time:4.886597156524658
epoch:10, total loss:20.966181695461273, prediction loss:0.007383583579212427, cross loss:20.75327628850937 lr:0.001, time:4.908947944641113
epoch:11, total loss:20.943954706192017, prediction loss:0.003624975448474288, cross loss:20.752527952194214 lr:0.001, time:4.844382047653198
epoch:12, total loss:20.97702842950821, prediction loss:0.007307478692382574, cross loss:20.75462955236435 lr:0.001, time:4.896857261657715
epoch:13, total loss:20.95160323381424, prediction loss:0.004491148982197046, cross loss:20.75375545024872 lr:0.001, time:4.91621470451355
epoch:14, total loss:20.92955207824707, prediction loss:0.005742414854466915, cross loss:20.752819061279297 lr:0.001, time:4.899888515472412
epoch:15, total loss:20.93787521123886, prediction loss:0.008542284369468689, cross loss:20.751856863498688 lr:0.001, time:4.916231632232666
epoch:16, total loss:20.93304967880249, prediction loss:0.007065595593303442, cross loss:20.752240359783173 lr:0.001, time:4.893099784851074
epoch:17, total loss:20.924806118011475, prediction loss:0.007977521978318691, cross loss:20.75190758705139 lr:0.001, time:4.935553789138794
epoch:18, total loss:20.929220736026764, prediction loss:0.000723672506865114, cross loss:20.751811861991882 lr:0.001, time:4.8928062915802
epoch:19, total loss:20.94791728258133, prediction loss:0.017627879977226257, cross loss:20.751616537570953 lr:0.001, time:4.87926459312439
epoch:20, total loss:20.908865749835968, prediction loss:0.005695926491171122, cross loss:20.751760244369507 lr:0.001, time:4.898229360580444
epoch:21, total loss:20.934022903442383, prediction loss:0.013529010117053986, cross loss:20.752843737602234 lr:0.001, time:4.957418203353882
epoch:22, total loss:20.918625473976135, prediction loss:0.004323708359152079, cross loss:20.751597583293915 lr:0.001, time:4.947834730148315
epoch:23, total loss:20.936240017414093, prediction loss:0.011759379878640175, cross loss:20.7517032623291 lr:0.001, time:4.945627450942993
epoch:24, total loss:20.915111422538757, prediction loss:0.002237666165456176, cross loss:20.750864803791046 lr:0.001, time:4.866624116897583
epoch:25, total loss:20.93053376674652, prediction loss:0.007329335901886225, cross loss:20.75417423248291 lr:0.001, time:4.869888067245483
epoch:26, total loss:20.92990016937256, prediction loss:0.012386566959321499, cross loss:20.75021004676819 lr:0.001, time:4.799479246139526
epoch:27, total loss:20.926367938518524, prediction loss:0.020449571311473846, cross loss:20.752502918243408 lr:0.001, time:4.819859504699707
epoch:28, total loss:20.914541125297546, prediction loss:0.0005810130969621241, cross loss:20.75082379579544 lr:0.001, time:4.868876934051514
epoch:29, total loss:20.93236815929413, prediction loss:0.012084949761629105, cross loss:20.752446711063385 lr:0.001, time:4.829351186752319
epoch:30, total loss:20.899203062057495, prediction loss:0.004126343410462141, cross loss:20.75092965364456 lr:0.001, time:4.807855844497681
epoch:31, total loss:20.894390404224396, prediction loss:0.002781612565740943, cross loss:20.75030869245529 lr:0.001, time:4.895864486694336
epoch:32, total loss:20.911721408367157, prediction loss:0.004834908992052078, cross loss:20.750334858894348 lr:0.001, time:4.852136135101318
epoch:33, total loss:20.91019082069397, prediction loss:0.007153636310249567, cross loss:20.752384305000305 lr:0.001, time:4.83956503868103
epoch:34, total loss:20.88607794046402, prediction loss:0.001804050407372415, cross loss:20.750415325164795 lr:0.001, time:4.901593446731567
epoch:35, total loss:20.903681933879852, prediction loss:0.007881584577262402, cross loss:20.749377071857452 lr:0.001, time:4.919064044952393
epoch:36, total loss:20.888593673706055, prediction loss:0.005897039547562599, cross loss:20.74922341108322 lr:0.001, time:4.972459077835083
epoch:37, total loss:20.897424399852753, prediction loss:0.007896301336586475, cross loss:20.74955403804779 lr:0.001, time:4.948467969894409
epoch:38, total loss:20.902635395526886, prediction loss:0.004449124913662672, cross loss:20.749692380428314 lr:0.001, time:4.93162989616394
epoch:39, total loss:20.91262149810791, prediction loss:0.00491417245939374, cross loss:20.74921852350235 lr:0.001, time:4.30560302734375
epoch:40, total loss:20.906863510608673, prediction loss:0.015162254683673382, cross loss:20.749463260173798 lr:0.001, time:4.295494556427002
epoch:41, total loss:20.89576756954193, prediction loss:0.004632681142538786, cross loss:20.749245762825012 lr:0.001, time:4.287149667739868
epoch:42, total loss:20.886395156383514, prediction loss:0.005907948594540358, cross loss:20.749050498008728 lr:0.001, time:4.312398195266724
epoch:43, total loss:20.885535717010498, prediction loss:0.004224881529808044, cross loss:20.748830437660217 lr:0.001, time:4.891482830047607
epoch:44, total loss:20.89328223466873, prediction loss:0.0038074199110269547, cross loss:20.75005054473877 lr:0.001, time:4.819920301437378
epoch:45, total loss:20.891293168067932, prediction loss:0.003634612774476409, cross loss:20.748268723487854 lr:0.001, time:4.835054159164429
epoch:46, total loss:20.892280280590057, prediction loss:0.002581889508292079, cross loss:20.74917483329773 lr:0.001, time:4.912756443023682
epoch:47, total loss:20.905901730060577, prediction loss:0.009975392371416092, cross loss:20.749869227409363 lr:0.001, time:4.835990905761719
epoch:48, total loss:20.884260416030884, prediction loss:0.00488296989351511, cross loss:20.748851537704468 lr:0.001, time:4.885092496871948
epoch:49, total loss:20.884535431861877, prediction loss:0.0020453038159757853, cross loss:20.749198496341705 lr:0.001, time:4.8351030349731445
epoch:50, total loss:20.8824560046196, prediction loss:0.0025271924678236246, cross loss:20.74876070022583 lr:0.001, time:4.845328330993652
epoch:51, total loss:20.881087362766266, prediction loss:0.0039082788862288, cross loss:20.748517870903015 lr:0.001, time:4.817934989929199
epoch:52, total loss:20.890529990196228, prediction loss:0.002596798585727811, cross loss:20.750070989131927 lr:0.001, time:4.85236382484436
epoch:53, total loss:20.899603843688965, prediction loss:0.009221469052135944, cross loss:20.749909579753876 lr:0.001, time:4.842538833618164
epoch:54, total loss:20.88240146636963, prediction loss:0.00926120113581419, cross loss:20.74971652030945 lr:0.001, time:4.85638689994812
epoch:55, total loss:20.894423604011536, prediction loss:0.004475537221878767, cross loss:20.750104069709778 lr:0.001, time:4.94842267036438
epoch:56, total loss:20.880185067653656, prediction loss:0.0016948983538895845, cross loss:20.749334156513214 lr:0.001, time:4.882077932357788
epoch:57, total loss:20.88112986087799, prediction loss:0.0043769399635493755, cross loss:20.74917632341385 lr:0.001, time:4.842066287994385
epoch:58, total loss:20.876842617988586, prediction loss:0.0019305956084281206, cross loss:20.7486652135849 lr:0.001, time:4.818280935287476
epoch:59, total loss:20.88680648803711, prediction loss:0.0019245656440034509, cross loss:20.74884283542633 lr:0.001, time:4.846530199050903
